Date,Open,High,Low,Close,Adj Close,Volume,MA_7,MA_14,MA_21,Volatility_15
2012-01-03,58.485714,58.92857,58.42857,58.747143,50.765709,75555200.0,,,,
2012-01-04,58.57143,59.240002000000004,58.468571,59.062859,51.038536,65005500.0,,,,
2012-01-05,59.278572000000004,59.792858,58.952858,59.718571,51.605175,67817400.0,,,,
2012-01-06,59.967144000000005,60.39285700000001,59.888572999999994,60.342857,52.14463,79573200.0,,,,
2012-01-09,60.78571300000001,61.107143,60.192856000000006,60.247143,52.061932,98506100.0,,,,
2012-01-10,60.844284,60.857143,60.214287000000006,60.462856,52.248333,64549100.0,,,,
2012-01-11,60.382858,60.407143000000005,59.901427999999996,60.364285,52.163139,53771200.0,0.017802821598953102,,,
2012-01-12,60.32571399999999,60.414288,59.82143000000001,60.19857,52.019955,53146800.0,0.01871216008364763,,,
2012-01-13,59.957142,60.06428499999999,59.808571,59.972858,51.824898,56505400.0,0.019282286663719197,,,
2012-01-17,60.59999800000001,60.855712999999994,60.42285499999999,60.671429,52.428562,60724300.0,0.019879264982194094,,,
2012-01-18,60.994286,61.352856,60.900002,61.301429999999996,52.972977,69197800.0,0.020479823824829022,,,
2012-01-19,61.450001,61.624287,60.93,61.107143,52.805092,65434600.0,0.02101862536072252,,,
2012-01-20,61.06999999999999,61.07143,59.96428699999999,60.042858,51.885387,103493600.0,0.020755490979940894,,,
2012-01-23,60.38142799999999,61.20714199999999,60.328571,61.05857099999999,52.763115,76515600.0,0.021190470471975024,0.01949664603546406,,
2012-01-24,60.728573,60.72857299999999,59.935715,60.058571,51.898972,136909500.0,0.021102759220552287,0.019907459652099956,,0.003064900463585928
2012-01-25,64.919998,64.921425,63.389998999999996,63.808571,55.139496,145397275.0,0.023505884866653053,0.021394085765186123,,0.004658958818262016
2012-01-26,64.05143,64.112854,63.30571400000001,63.51856999999999,54.888889,80996300.0,0.02528965689421741,0.022584460938205753,,0.005368268199920005
2012-01-27,63.477142,64.068573,63.39571399999999,63.897144000000004,55.216022,74927300.0,0.026915906533682827,0.023697865179255925,,0.006174248995143042
